Date,Close,High,Low,Open,Volume
2018-01-01,1184.2349853515625,1204.0529750655157,1180.3154703937041,1204.0529750655157,746852
2018-01-02,1179.0382080078125,1188.9032270768923,1170.1862374032603,1184.6753464016479,695988
2018-01-03,1189.3878173828125,1195.0690397875123,1175.8675639010323,1184.4112777245766,832810
2018-01-04,1191.061279296875,1194.4964192990212,1181.548600447775,1189.1675386208663,640189
2018-01-05,1194.848876953125,1200.485909021824,1187.5381964297574,1189.9603956066028,568451
2018-01-08,1205.2862548828125,1207.5763124543207,1187.8463789161585,1187.8463789161585,801796
2018-01-09,1199.0328369140625,1211.892492770795,1194.364554864385,1210.2189516103722,708386
2018-01-10,1202.996337890625,1206.695653821548,1193.483657611823,1199.076714503373,939525
2018-01-11,1214.314453125,1218.0578516194619,1195.2451192904914,1195.2451192904914,629248
2018-01-12,1210.2188720703125,1219.3792110920667,1195.2452761276666,1216.2083534551716,872539
2018-01-15,1204.2293701171875,1211.628109489907,1201.410853936866,1211.628109489907,1324592
2018-01-16,1217.2652587890625,1223.8712569373388,1201.1906632949233,1206.0791449324483,896453
2018-01-17,1207.7523193359375,1225.1921937136278,1203.3924045012538,1223.4305945853553,1409691
2018-01-18,1195.2010498046875,1239.1970571189777,1189.6079934948418,1233.1195179906972,2465412
2018-01-19,1200.0455322265625,1209.2058707934275,1189.1237017440087,1207.0479544931236,1491194
2018-01-22,1193.571533203125,1202.291470869371,1185.952595052327,1200.529871644654,1014403
2018-01-23,1205.2420654296875,1208.7652636960188,1189.1234978729092,1198.5039272414333,1284895
2018-01-24,1203.08447265625,1208.4573299516965,1175.9118202323016,1204.9341307390093,1819330
2018-01-25,1209.11767578125,1213.741873776407,1197.4911638297924,1205.7266187553653,2125894
2018-01-29,1230.7413330078125,1233.1194489372554,1204.229178840075,1206.6954607457428,1406390
2018-01-30,1233.339599609375,1241.9273954288296,1224.3994624575341,1230.7412838820494,1310365
2018-01-31,1206.123291015625,1233.1198287708326,1200.1778918411942,1233.1198287708326,1491912
2018-02-01,1207.796630859375,1219.731510219513,1189.9604363106769,1209.3380303882748,1563429
2018-02-02,1208.6331787109375,1213.6538009866538,1190.8410696427081,1190.8410696427081,1699619
2018-02-05,1194.144287109375,1199.164802786083,1181.3726904557989,1190.92934644785,1585136
2018-02-06,1167.3677978515625,1187.7583313093432,1144.1587485137834,1145.039548166219,1540401
2018-02-07,1156.181884765625,1171.4637398682758,1151.2494273648178,1164.417341432978,1561287
2018-02-08,1171.0673828125,1178.1137810062028,1149.663905291326,1167.6762176661775,1146084
2018-02-09,1174.150390625,1180.2719071355432,1155.433392097664,1161.7751085908817,810004
2018-02-12,1184.191162109375,1188.991585182485,1174.2381896038376,1180.2716462918027,1166428
2018-02-14,1188.5511474609375,1191.898121839589,1173.2252110380725,1188.9034888480312,857401
2018-02-15,1196.258056640625,1201.8070298798152,1179.1705220625806,1191.7219169752916,844856
2018-02-16,1190.929443359375,1201.4109829698323,1187.3181855156406,1201.4109829698323,1091144
2018-02-19,1176.6602783203125,1197.0067288071768,1170.4066222859242,1197.0067288071768,495950
2018-02-20,1173.0491943359375,1183.2223673207354,1169.5699706804096,1173.357452756173,688130
2018-02-21,1171.991943359375,1179.3906816112437,1165.2978878055828,1179.3906816112437,1406451
2018-02-22,1168.3365478515625,1174.810510713477,1156.7100365230854,1171.5514877893506,2173259
2018-02-23,1165.430419921875,1172.8731361376106,1162.8319956812336,1168.3810781101452,896708
2018-02-26,1174.3701171875,1178.8621735192874,1159.3524414153162,1159.3524414153162,1109668
2018-02-27,1185.86474609375,1191.281686170626,1175.0749489361972,1180.2716890710824,1316559
2018-02-28,1160.673828125,1178.9504222692563,1154.7284300298804,1178.8623638013762,1862621
2018-03-01,1166.39892578125,1170.5827240802575,1157.5909293622865,1162.6555273031904,961945
2018-03-05,1144.8193359375,1163.4922453604609,1139.534538079739,1162.6555287074436,842790
2018-03-06,1139.050048828125,1151.9978680181252,1135.5268502762044,1145.039529374185,738512
2018-03-07,1139.6226806640625,1151.7336766487667,1137.2004814671216,1138.918105409377,917890
2018-03-08,1139.0059814453125,1149.927917578813,1131.1227608098382,1145.0394369747066,739272
2018-03-09,1145.7001953125,1147.681994612483,1132.7964583664887,1140.6355971014318,852176
