simulation_id,final_value,return_pct
1,135593.94099652383,35.593940996523834
2,138864.71956257976,38.864719562579765
3,148765.60895805736,48.76560895805736
4,126352.97932872047,26.352979328720465
5,116555.36093293886,16.555360932938857
6,115735.62166075375,15.735621660753749
7,119587.49029930346,19.58749029930346
8,149864.17670419934,49.864176704199345
9,103575.12201058156,3.575122010581559
10,123959.90524244434,23.959905242444336
11,141714.05245983254,41.71405245983254
12,122892.36945864184,22.89236945864184
13,133892.7287445374,33.89272874453739
14,108429.2255634782,8.429225563478205
15,153292.11356476476,53.29211356476476
16,117202.5864284499,17.202586428449894
17,119794.06271896449,19.794062718964486
18,90006.25714528933,-9.99374285471067
19,98822.43303204632,-1.1775669679536804
20,131292.29937099054,31.29229937099054
21,109685.21712056678,9.685217120566783
22,112848.12933893746,12.848129338937461
23,133324.3431355843,33.324343135584286
24,107632.14511664127,7.632145116641273
25,135210.63832382887,35.21063832382887
26,120631.51743073306,20.63151743073306
27,110469.60173547544,10.469601735475443
28,102772.4950104779,2.7724950104778983
29,75462.17741337534,-24.537822586624664
30,108047.1810225119,8.047181022511896
31,141042.49564808188,41.042495648081875
32,120241.10934260163,20.24110934260163
33,107755.01881969762,7.755018819697623
34,89776.37441805871,-10.223625581941292
35,99347.42420738463,-0.6525757926153747
36,97240.23015889499,-2.759769841105008
37,108806.65694714418,8.806656947144177
38,140407.94491695747,40.40794491695747
39,95937.04747966347,-4.062952520336534
40,134351.41965198435,34.35141965198436
41,106770.53150252369,6.770531502523693
42,150034.73926348603,50.03473926348603
43,122487.26560788199,22.487265607881984
44,115868.48377992303,15.868483779923029
45,94671.84661468881,-5.32815338531119
46,94976.94203478983,-5.023057965210173
47,152608.53978425288,52.60853978425287
48,114640.50012681259,14.640500126812592
49,131117.31412722656,31.117314127226564
50,149359.90870629455,49.35990870629455
51,130902.02373960636,30.90202373960636
52,112078.21539111354,12.07821539111354
53,103577.57687054023,3.5775768705402298
54,109505.8644820942,9.5058644820942
55,114241.8926351859,14.241892635185897
56,105247.40853650476,5.247408536504765
57,110305.58149316299,10.305581493162986
58,109275.32656999737,9.27532656999737
59,139307.83113501128,39.30783113501128
60,99891.05495797486,-0.1089450420251378
61,116743.45218269482,16.743452182694817
62,119736.62789526462,19.736627895264625
63,139913.15319994226,39.91315319994226
64,133795.61860387377,33.79561860387377
65,81738.59707220728,-18.26140292779272
66,135368.76550468005,35.36876550468005
67,129237.97281673097,29.237972816730966
68,118596.82334097927,18.596823340979274
69,161346.89457056436,61.34689457056436
70,160562.23591820084,60.562235918200834
71,107360.30377382542,7.360303773825421
72,117112.87219047673,17.11287219047673
73,93249.98168617563,-6.750018313824374
74,120947.6422377591,20.947642237759094
75,75036.03458712975,-24.963965412870255
76,115168.50787866102,15.168507878661025
77,106816.22341866442,6.81622341866442
78,143936.56408409183,43.936564084091835
79,98541.73682481881,-1.4582631751811859
80,101246.92553267158,1.2469255326715794
81,82011.35943432883,-17.988640565671172
82,133758.8545367892,33.75885453678921
83,138948.55596156695,38.94855596156695
84,134793.85855450606,34.793858554506066
85,109515.5127094454,9.515512709445392
86,149893.02710641906,49.893027106419055
87,130276.73596174947,30.276735961749466
88,149051.16104141113,49.051161041411135
89,109300.82039208723,9.300820392087234
90,83212.87569125276,-16.787124308747238
91,128977.77652109135,28.977776521091346
92,172764.9771178573,72.76497711785731
93,143647.84717256427,43.647847172564276
94,99411.87742007166,-0.588122579928342
95,130111.17781754462,30.111177817544622
96,132596.98295165275,32.596982951652755
97,109188.05545050008,9.188055450500077
98,109214.38914676625,9.214389146766248
99,90490.44711393549,-9.509552886064514
100,120385.47852791772,20.385478527917716
101,142611.7804016062,42.6117804016062
102,141948.62635137895,41.94862635137895
103,151983.66073379782,51.98366073379782
104,95423.3899284161,-4.576610071583898
105,129046.32291103933,29.04632291103933
106,130768.05494726147,30.768054947261465
107,147267.61168933046,47.26761168933046
108,110538.85675103383,10.538856751033833
109,104176.95537839909,4.176955378399085
110,87609.1884009423,-12.390811599057706
111,158738.18970325112,58.73818970325112
112,121011.46227478248,21.011462274782474
113,149868.7697277133,49.868769727713314
114,95003.11349351058,-4.996886506489419
115,126226.68252028515,26.22668252028515
116,112550.32618789491,12.55032618789491
117,99693.7362293977,-0.30626377060229426
118,127633.55838992888,27.633558389928876
119,142149.6097041703,42.14960970417029
120,121296.36658061785,21.29636658061785
121,97711.13778177877,-2.2888622182212273
122,125647.47801238416,25.647478012384163
123,121688.65287478962,21.688652874789625
124,164614.96606972537,64.61496606972537
125,111610.94492326195,11.610944923261952
126,110270.66855449333,10.270668554493328
127,83234.29689631813,-16.76570310368187
128,130819.68798578884,30.81968798578884
129,108964.28178768797,8.964281787687971
130,88718.90545915203,-11.281094540847974
131,154856.30455495126,54.856304554951265
132,110966.95079180869,10.96695079180869
133,108972.31591091752,8.972315910917517
134,135120.98634199522,35.12098634199521
135,90772.78518434621,-9.227214815653788
136,104604.17131332154,4.6041713133215385
137,91843.83853847263,-8.156161461527372
138,119186.84808687991,19.18684808687991
139,161527.01627223706,61.527016272237056
140,134394.3401414965,34.39434014149651
141,134128.16146229164,34.12816146229164
142,129590.58295358864,29.590582953588644
143,136097.59310847812,36.09759310847812
144,95390.85172916226,-4.6091482708377445
145,103910.17480617079,3.9101748061707915
146,109771.8145229803,9.771814522980304
147,87194.83911677304,-12.805160883226957
148,161355.6388252346,61.35563882523461
149,94128.6180153001,-5.871381984699895
150,130582.20630961846,30.58220630961846
151,107223.83405145374,7.223834051453741
152,160518.83269873023,60.51883269873023
153,156623.31346048389,56.623313460483885
154,122247.00944878881,22.247009448788813
155,101872.3442170118,1.872344217011807
156,109800.81697303997,9.800816973039968
157,117583.68858049877,17.58368858049877
158,106733.54180021846,6.733541800218459
159,126377.6315813137,26.377631581313704
160,120089.68487001912,20.089684870019116
161,84051.31526547237,-15.948684734527632
162,113356.9891180504,13.356989118050405
163,111730.7082950706,11.730708295070595
164,152407.29569276987,52.40729569276987
165,144752.71649591773,44.75271649591773
166,141310.0077018775,41.3100077018775
167,99508.11246329764,-0.4918875367023574
168,116970.38761637035,16.970387616370353
169,152466.17386430746,52.466173864307464
170,151116.7767127157,51.11677671271572
171,122482.88370340514,22.48288370340514
172,86762.72377111776,-13.23727622888224
173,142225.15939572177,42.22515939572177
174,105890.52306250457,5.890523062504566
175,121337.13906585357,21.337139065853567
176,112801.64555338443,12.801645553384427
177,114583.84770145973,14.583847701459728
178,79431.7862548838,-20.5682137451162
179,83325.7317916534,-16.674268208346607
180,110937.0321559015,10.9370321559015
181,130547.4672740836,30.547467274083594
182,98326.26669659096,-1.6737333034090407
183,99619.8502804208,-0.3801497195792035
184,172194.30127131817,72.19430127131817
185,136489.6769303964,36.489676930396406
186,99254.50680291816,-0.7454931970818434
187,91147.62164487873,-8.85237835512127
188,137537.66384439656,37.53766384439656
189,124324.95104226895,24.32495104226895
190,114093.41301476212,14.093413014762119
191,103806.80500944071,3.806805009440708
192,121692.69633239588,21.692696332395876
193,84270.80598890617,-15.729194011093831
194,134030.1713453135,34.030171345313484
195,108414.46165083794,8.41446165083794
196,118420.37781960022,18.420377819600223
197,143464.86422981299,43.46486422981298
198,107536.55316919464,7.5365531691946375
199,110896.89577300558,10.896895773005584
200,96216.79086704964,-3.7832091329503603
201,126889.41322259177,26.889413222591774
202,119851.40544713469,19.85140544713469
203,114140.55567375124,14.140555673751237
204,103944.33241506822,3.9443324150682164
205,84848.15882024622,-15.151841179753783
206,127417.49056326803,27.417490563268032
207,104722.57383801484,4.722573838014839
208,121567.94607920754,21.56794607920754
209,90360.57658772293,-9.639423412277072
210,117404.7046604383,17.404704660438306
211,121142.56113294789,21.142561132947886
212,108965.46237403069,8.965462374030684
213,91317.82465275204,-8.682175347247961
214,97798.70891198446,-2.2012910880155396
215,128728.72566190483,28.728725661904832
216,154118.91035003588,54.118910350035875
217,92772.2395479873,-7.227760452012706
218,134404.41975212985,34.40441975212985
219,125461.81078898114,25.461810788981136
220,86723.33649642208,-13.276663503577918
221,123181.76285597484,23.181762855974842
222,114270.97703128573,14.270977031285728
223,119669.626858866,19.669626858866003
224,136946.25187092015,36.94625187092016
225,129595.75195852712,29.59575195852712
226,119349.40020263114,19.349400202631138
227,141081.3931595057,41.08139315950571
228,102615.3780082901,2.6153780082901066
229,99587.26477328113,-0.412735226718869
230,103234.79956462403,3.234799564624031
231,101354.5656033689,1.354565603368901
232,144827.77198732074,44.827771987320745
233,152984.09428467555,52.98409428467556
234,100196.24425350175,0.19624425350174718
235,121959.26350426131,21.959263504261312
236,84959.35400552503,-15.040645994474966
237,101029.19360080795,1.0291936008079503
