Date,Close,High,Low,Open,Volume
2018-01-01,453.57305908203125,462.3369123031818,451.4250524187813,456.2365745432945,4807939
2018-01-02,443.8211669921875,457.869140214537,439.7829220134495,457.869140214537,5242199
2018-01-03,445.23883056640625,451.51099530567205,442.27457477619,446.0550504589786,6333269
2018-01-04,449.3630065917969,452.97165584044393,442.05979480133584,445.92621302304724,5953924
2018-01-05,463.96942138671875,466.1174281019052,445.5395231885475,451.08138109559985,8008838
2018-01-08,443.6492919921875,458.9430790833267,441.801996297973,458.9430790833267,12287843
2018-01-09,438.0215148925781,447.6875305787101,433.63955907588456,445.0669571453906,7541257
2018-01-10,435.1002197265625,444.6373804335808,433.2958951704847,442.48937362427097,6667296
2018-01-11,442.2745666503906,443.95000668995056,432.35078179844464,436.47493965785674,5905519
2018-01-12,437.80670166015625,444.5084909763851,433.4677459919265,443.348559748015,4847824
2018-01-15,433.4677429199219,439.86879203909785,431.7063604942203,438.02152541861136,2834570
2018-01-16,427.238525390625,441.3294394937696,422.212176106706,436.4749458821228,6420450
2018-01-17,429.5154113769531,432.35078263924623,422.2551420978456,425.3053111276619,6824337
2018-01-18,425.3053283691406,437.1623227223278,423.58691706573023,430.4605331858088,7912892
2018-01-19,427.7969970703125,429.81611934537676,415.42446536976416,415.8540899952865,9966300
2018-01-22,421.6107177734375,428.3124774515993,419.29085550518164,425.82078861939254,4532165
2018-01-23,422.81365966796875,428.5703159921791,419.97828815382763,424.4461577584239,6150836
2018-01-24,394.8035888671875,418.43166141105246,391.06605564645344,418.3457481297109,29348889
2018-01-25,388.9610595703125,398.2404222325107,381.8726167248859,398.2404222325107,20580178
2018-01-29,378.564697265625,383.54804616542975,373.7961170381559,381.4859817941029,27139736
2018-01-30,381.0206604003906,390.10081130627213,378.1236445349242,381.0206604003906,10679523
2018-01-31,380.3720703125,385.6904696959026,377.3885836890906,382.66373310200845,7069368
2018-02-01,379.1181945800781,386.5552871598245,371.9405432937322,380.5450924114676,8096718
2018-02-02,365.2384948730469,380.93419404620437,359.57421254974867,378.5993104426909,6668088
2018-02-05,380.67474365234375,386.339025404208,355.59620405771307,361.2604858095773,15080352
2018-02-06,379.7667236328125,387.20378547754626,361.95230490222565,363.2062318656445,9331070
2018-02-07,372.07025146484375,388.6307459115367,369.34620582241587,384.7824937451524,10982569
2018-02-08,371.6810607910156,377.04268057131986,367.5301180131127,375.31312108052697,6173490
2018-02-09,365.3681945800781,375.2698902266103,362.9468111696359,366.66537158482083,5393964
2018-02-12,367.01129150390625,372.7188235975423,364.3737167488749,371.6810878275803,3987231
2018-02-14,376.00494384765625,379.20462157628816,368.65432335248323,368.65432335248323,10468199
2018-02-15,370.9460144042969,379.89644516656534,369.0002634938368,379.89644516656534,4583095
2018-02-16,362.94683837890625,376.13471285514265,361.8226318889276,376.13471285514265,4403814
2018-02-19,358.3202819824219,363.20626972402084,348.6780271341069,363.076549089138,6457099
2018-02-20,361.5632019042969,365.1087625275176,358.9688478294045,358.9688478294045,8022411
2018-02-21,362.903564453125,365.36816837482786,360.9145637594842,363.20622637685665,4731875
2018-02-22,359.8336486816406,362.5576941546475,357.45551513928433,362.16853225179926,10769504
2018-02-23,368.0057678222656,370.29743059494,360.6983969318079,362.3414858458302,7504250
2018-02-26,365.9302978515625,371.8540211089194,363.94132629720076,371.8540211089194,4071745
2018-02-27,372.2864074707031,374.1456876975602,366.92478736175343,368.22196437993665,5188255
2018-02-28,370.6000671386719,374.8807304463863,368.3084045230655,371.853994082175,25920217
2018-03-01,369.90826416015625,377.56154687088116,368.1787046093839,371.03247054758117,5837005
2018-03-05,364.4601745605469,369.3461620037584,361.13077607624797,369.2164413767976,3863655
2018-03-06,357.93115234375,369.8218202096592,355.0773861994697,366.40595083107445,4204736
2018-03-07,348.6780090332031,360.0065729822754,338.34393085685895,355.1205854943225,12064643
2018-03-08,347.0349426269531,358.10409531993537,341.58685158522167,355.85568237235935,8664079
2018-03-09,347.7699890136719,353.26132959476814,343.79201669655447,350.1481224100338,5093353
2018-03-12,364.546630859375,367.0977347637375,349.36981590197405,350.2345810045743,8387164
2018-03-13,368.65435791015625,371.68109461506236,363.3359876140002,365.80059181122397,5712773
2018-03-14,365.45465087890625,368.30841675136213,361.95231117071745,368.30841675136213,4194515
2018-03-15,363.5954284667969,366.9247978431593,360.828133032855,365.45467946445524,3636202
2018-03-16,360.395751953125,369.04352093814583,357.7149271696748,359.0985748924478,8030364
2018-03-19,345.60809326171875,364.5899422916847,343.05698892727935,361.4767346893317,6000592
2018-03-20,346.256591796875,348.9374161912562,339.5978247003071,345.04591485630976,8280683
2018-03-21,361.6496887207031,363.33599844709835,347.8132696872794,348.5050642848707,9266412
2018-03-22,359.4012756347656,363.42246899278416,356.37453884060415,358.0176278754131,5382163
2018-03-23,356.8934020996094,362.29824292482124,350.40757553996946,356.8501521286009,5696201
2018-03-26,364.5034484863281,365.8005962765707,351.61826555292674,356.2880620188831,4884776
2018-03-27,357.3257751464844,365.281719838115,353.0018908887587,364.93580792620463,6746611
2018-03-28,344.7864990234375,357.1960483870058,341.93273311974633,355.4232681703424,11413279
2018-04-02,341.67327880859375,347.4240603652538,337.6953066831363,345.4783096288303,5533293
2018-04-03,347.8132629394531,349.3698519978788,338.34394938902415,338.34394938902415,5059176
