Date,Close,Volume,Daily_Return,Ticker
2020-05-14,423.24542236328125,39554890,-3.659785936970328,HDFCBANK.NS
2020-05-15,420.6170349121094,24349628,-0.6210078862745161,HDFCBANK.NS
2020-05-18,396.2272644042969,46649964,-5.798569359633499,HDFCBANK.NS
2020-05-19,393.3857116699219,47460692,-0.7171522481288828,HDFCBANK.NS
2020-05-20,405.9121398925781,40014306,3.1842611083868766,HDFCBANK.NS
2020-05-21,407.0723876953125,48478908,0.2858371772377799,HDFCBANK.NS
2020-05-22,397.2691345214844,42047432,-2.4082333929182465,HDFCBANK.NS
2020-05-26,403.686279296875,38005152,1.615314208369134,HDFCBANK.NS
2020-05-27,427.9576416015625,56025754,6.012431818827824,HDFCBANK.NS
2020-05-28,447.65887451171875,75488806,4.603547406333841,HDFCBANK.NS
2020-05-29,450.6898498535156,53025166,0.6770725466132888,HDFCBANK.NS
2020-06-01,467.7390441894531,39190230,3.782910651633009,HDFCBANK.NS
2020-06-02,474.0614013671875,41623594,1.3516847174241065,HDFCBANK.NS
2020-06-03,484.1251220703125,50546088,2.1228728333716473,HDFCBANK.NS
2020-06-04,474.39288330078125,54275882,-2.0102734449954363,HDFCBANK.NS
2020-06-05,489.3819580078125,35195984,3.159633129978401,HDFCBANK.NS
2020-06-08,481.11785888671875,49812664,-1.6886807913261581,HDFCBANK.NS
2020-06-09,467.5732727050781,61844146,-2.815232469853035,HDFCBANK.NS
2020-06-10,469.7280578613281,36497730,0.46084438141293926,HDFCBANK.NS
2020-06-11,458.7171325683594,30897714,-2.3441063629670134,HDFCBANK.NS
2020-06-12,465.41845703125,42644876,1.4608838404116087,HDFCBANK.NS
2020-06-15,449.8373718261719,32009936,-3.347758338692608,HDFCBANK.NS
2020-06-16,469.0414123535156,45399970,4.2691073997214835,HDFCBANK.NS
2020-06-17,463.7608642578125,36957838,-1.1258170295042502,HDFCBANK.NS
2020-06-18,483.0359191894531,40870126,4.156248708585575,HDFCBANK.NS
2020-06-19,489.3819580078125,47877752,1.3137819707089715,HDFCBANK.NS
2020-06-22,487.2034606933594,29694474,-0.4451527643808961,HDFCBANK.NS
2020-06-23,493.6205749511719,28830512,1.3171323226399245,HDFCBANK.NS
2020-06-24,488.9794006347656,39429246,-0.9402311313432055,HDFCBANK.NS
2020-06-25,487.2034606933594,70646790,-0.36319320182012227,HDFCBANK.NS
2020-06-26,500.3218078613281,39969138,2.6925808674058915,HDFCBANK.NS
2020-06-29,509.60418701171875,46005956,1.8552817415792955,HDFCBANK.NS
2020-06-30,504.7735595703125,35746130,-0.9479175337496093,HDFCBANK.NS
2020-07-01,513.6533203125,34846718,1.7591572644467313,HDFCBANK.NS
2020-07-02,515.9265747070312,36954496,0.4425658911633601,HDFCBANK.NS
2020-07-03,508.6097106933594,27597254,-1.4181987074084579,HDFCBANK.NS
2020-07-06,522.367431640625,35558216,2.7049662359986293,HDFCBANK.NS
2020-07-07,523.3856201171875,24349850,0.19491806243827625,HDFCBANK.NS
2020-07-08,525.8482055664062,30056350,0.4705107199290959,HDFCBANK.NS
2020-07-09,532.7625732421875,20114484,1.3148980261962873,HDFCBANK.NS
2020-07-10,523.3618774414062,17562978,-1.7645188068621698,HDFCBANK.NS
2020-07-13,511.5932312011719,29922114,-2.2486632572033205,HDFCBANK.NS
